070,a,9,"whichever, whichsoever (of two)",
208049,L2071080,a,9,of Cures,
208050,L5388103,n,9,"the most ancient inhabitants of the island of Crete, who paid their worship to Jupiter with noisy music and armed dances",2775
208051,L2413020,n,9,"an Albanian gens, subsequently transplanted to Rome, from which were descended the three Curiatii who fell in the contest with the Roman Horatii",
208052,L3661994,n,9,"the inhabitants of Curieta, an island on the coast of Illyria, now Veglia",2775
208053,L8962918,n,9,"a Gallic tribe in Armorica, near the modern Corseult, south of St",
208054,L4885644,a,9,"of or pertaining to a Curius, Curian",
208055,L2215964,n,9,"an ancient city in the Sabine land, on a lake called Lacus Cutiliae, now Lago di Contigliano",2775
208056,L6389043,n,9,a city of the Vestini,2775
208057,L2260814,n,9,a fountain near Syracuse,
208058,L2747241,n,9,"a nymph, daughter of Maeander, mother of Caunus and of Byblis",
208059,L5359516,n,9,a Cyclops,
208060,L1262347,a,9,"of or pertaining to the Boeotian Cycnus, the son of Hyrie",
208061,L3354780,n,9,the mistress of Acontius,
208062,L1926247,n,9,"an ancient and celebrated town on the north coast of Crete, now Canea",2775
208063,L1372400,n,9,a Centaur,
208064,L1070046,n,9,"a high mountain in the north-eastern part of Arcadia, on which",2775
208065,L5126222,a,9,"pertaining to Cylon, the well-known Athenian",
208067,L9243990,n,9,a Nereid,
208070,L5983061,n,9,",",
208071,L9385380,a,9,pertaining to the philosophy of the Cynics,
208072,L6273383,n,9,"a harbor of Locris, at the northern end of the Opuntian bay",
208073,L3509292,n,9,a gymnasium near Athens sacred to Hercules,1666
208074,L3741077,n,9,a name of two hills near Scotussa in Thessaly,
208076,L2689504,n,9,"the constellation in the northern sky now known as the Little Bear, or Ursa Minor",
208077,L2122500,n,9,"a promontory in Attica, west of Marathon, now Schoinia, or Cap Cabala",
208078,L5716082,n,9,"a mountain of Delos, celebrated as the birthplace of Apollo and Diana, now Montecintio",2775
208079,L5484276,n,9,"a town in Messenia, now Arkadhia",2775
208080,L9189741,n,9,the mistress of the poet Ovid,
208081,L6785382,n,9,a prefect of Cyprus,
208083,L7536147,n,9,"a town in Thrace, on the Hebrus, now Ipsala",2775
208084,L7906005,n,9,a tyrant at Corinth,
208085,L4254456,n,9,Cyrenae,
208086,L1700912,n,9,"a nymph, mother of Aristaeus",
208087,L4012931,n,9,the island Corsica,2775
208088,L5353631,n,9,"a province of Syria, called after its town Cyrrhus",2775
208089,L8451653,n,9,an Athenian,
208090,L3570254,n,9,"a Median tribe, celebrated as slingers",
208091,L5160245,n,9,the founder of the Persian monarchy,
208092,L7314189,n,9,a town and harbor in Ionia,2775
208093,L9419701,n,9,"a town in Colchis, the birthplace of Medea",2775
208094,L7447708,n,9,"an island in the Aegean Sea, south-west of the promontory Malea, celebrated for the worship of Venus, now Cerigo",2775
208095,L5468900,n,9,"a mistress of Antonius, who is sarcastically called Cythërius",
208096,L8767146,n,9,"one of the Cyclades, now Thermia",
208097,L3284198,n,9,"an island at the entrance of the Arabian Gulf, producing chrysolite",2775
208098,L5565892,n,9,"a mountain abounding in boxwood, and a town upon it, in Paphlagonia, now Kidros",2775
208099,L8065233,n,9,Prop,
208100,L8278150,n,9,"the Dacians, a famous warlike people, akin to the Thracians",
208101,L4236081,n,9,"a city of Bithynia, near the borders of Galatia",2775
208102,L7262184,n,9,"a king of Trachis, son of Lucifer, and brother of Ceyx, who was changed into a hawk",
208103,L5111931,a,9,"Daedalian, relating to Daedalus",
208104,L1478302,n,9,the name of a Greek sculptor,
208105,L7179716,n,9,"the name of an old man, a character in the Rudens",
208106,L2526765,n,9,"a sculptor, son and pupil of Lysippus",
208107,L5036425,n,9,a Grecian sculptor,
208109,L2229157,n,9,"a son of Amphion and Niobe, slain by Apollo",
208110,L6866812,n,9,a courtier of Dionysius the younger,
208112,L3921111,n,9,"a son of Belus, and twin-brother of Aegyptus",
208113,L8241709,n,9,a Scythian tribe in Asiatic Sarmatia,
208114,L4654184,n,9,the Hebrew prophet,
208115,L7735120,n,9,the Danube,
208116,L7850037,n,9,"a sophist of Telmessus, killed by falling from his horse",
208117,L4688972,n,9,Δάφνις,
208118,L9853183,n,9,"a people in Upper Moesia, the modern Servia",
208119,L6865353,n,9,Δάρδανος,
208120,L2187854,n,9,"Δάρειος [a Persian word, from R",
208121,L9558972,n,9,a people of Illyria,1696
208122,L4807490,n,9,"a city of Phocis, situated on an eminence, and celebrated as the scene of the fable of Tereus, Progne, and Philomela",2775
208123,L8147617,n,9,"a fabulous king over a part of Apulia, father of Turnus, and father-in-law of Diomedes",
208124,L9523433,n,9,a general of Magnentius,2798
208125,L4969071,a,9,of or belonging to Decius,
208126,L2027335,n,9,"daughter of Oeneus, sister of Meleager, wife of Hercules, and mother of Hyllus",
208127,L8920916,n,9,"daughter of Lycomedes, king of Scyros, and mother of Pyrrhus by Achilles",
208128,L1756880,n,9,son of Deïone by Apollo,
208129,L5318846,n,9,one of Juno's nymphs,
208130,L1197860,n,9,"a small place in Boeotia, with a temple of Apollo",2775
208131,L8320100,n,9,"a small island in the Aegean Sea, one of the Cyclades, the birthplace of Apollo and Diana, now Dili",2775
208132,L2616095,n,9,"the famous city of the oracle of Apollo in Phocis, now Kastri",2775
208134,L9447830,n,9,"a famous Athenian orator who sided with Macedon, a contemporary of Demosthenes",
208135,L6755164,n,9,daughter of king Hiero,
208136,L7011605,n,9,"a Corinthian, the father of Tarquinius Priscus",
208137,L7864692,n,9,"a town in Phthiotis, with a temple to Demeter",2775
208138,L1511778,n,9,the name of several Greeks,
208140,L5805440,n,9,"a celebrated philosopher born at Abdera, an adherent of the Eleatic school, and the originator of the atomic theory",1545
208141,L4819486,n,9,a centaur slain by Perseus,
208142,L2724101,n,9,a Greek comic poet,2748
208143,L9847270,n,9,"a son of Theseus and Phaedra, a lover of Phyllis, and one of those who fought before Troy",
208144,L8871187,n,9,a tribe of Northern Thrace,
208145,L9340122,n,9,the daughter of Deo,
208146,L1499508,a,9,belonging or sacred to Deo,1666
208147,L6132359,n,9,a people in Dalmatia,
208149,L5359132,n,9,"Δερκίτις and a Syrian goddess, called also Atargatis, supposed to be the same with the Greek Aphrodite",1666
208150,L2321972,n,9,a sculptor,
208151,L8350258,n,9,"a city in Liguria, now Tortona",2775
208152,L1653053,n,9,a Grecian painter,
208153,L5455510,n,9,a town in Thrace,2775
208154,L1154858,n,9,"a son of Prometheus, king of Phthia, in Thessaly, and husband of Pyrrha",
208155,L8323196,n,9,the name of a centaur,
208156,L9875669,n,9,"a people in Gallia Lugdunensis, near the present Mayenne, in the Department de la Sarthe",
208157,L9498631,n,9,a Theban lawgiver,
208158,L8730542,n,9,"an atheistic philosopher and poet of Melos, a contemporary of Pindar",1545
208159,L1024404,n,9,"from Dis, in Diespiter Of or belonging to Jupiter",
208160,L2592240,n,9,"the old name of Puteoli, now Puzzuolo",
208161,L9198810,n,9,the founder of Dicaearchia,
208163,L9695520,n,9,"the nymph Britomartis, so called because, when pursued by Minos, she sprang into a net",
208164,L1323882,n,9,a mariner changed by Bacchus into a dolphin,
208165,L6297750,a,9,"of Didyma, a city of Ionia",2775
208166,L2448284,n,9,a Roman female name,
208167,L4698575,n,9,"an Attic orator, an imitator of Demosthenes",
208168,L3977270,n,9,"a mountain in Mysia near Pessinus, sacred to Cybele",2775
208169,L4683527,n,9,a Greek historian of the time of Philip of Macedonia,2748
208170,L7385634,n,9,a Greek philosopher,1545
208171,L8274530,n,9,a freedman of Caesar,
208172,L7901611,n,9,"a Peripatetic philosopher, a pupil of Critolaus",1545
208173,L4132629,n,9,"a Stoic, and teacher of Cicero",
208174,L8769091,n,9,"Apolloniates, a celebrated Ionian philosopher, pupil of Anaximenes",1545
208176,L4169917,n,9,the mother of Venus,
208177,L2088430,n,9,a noted dancer,
208178,L7845024,n,9,the name of several celebrated Greeks,
208179,L1990478,n,9,"the inhabitants of Dionysopolis, a city of Magna Phrygia",2775
208180,L1468749,n,9,the Greek name of Bacchus,
208181,L4312673,n,9,"Of Mitylenae, teacher of Tib",
208182,L8902120,n,9,"a trench or canal, in Acarnania, between Leucadia and the continent",
208183,L7395115,n,9,a kind of chestnut,
208184,L3059910,n,9,"a plant, otherwise called lithospermon, stonecrop",
208185,L6022085,n,9,"a celebrated Greek comic writer of Sinope, imitated by Plautus",
208186,L5352448,n,9,a name given to an old bawd,
208188,L2228300,n,9,the name of a fountain,
208189,L7994385,n,9,"a fountain in Spain, near Bilbilis",
208190,L6858872,n,9,"the inhabitants of the town Divitia, opposite to Cologne",2775
208191,L5329530,n,9,a city of Thessalia,2775
208192,L2241252,n,9,"the Dolopes or Dolopians, a people in Thessaly, renowned in fable",
208193,L5648569,n,9,"a Roman emperor, the younger brother of Titus and son of Vespasian, last member of the Flavian dynasty",2798
208194,L8200191,n,9,the name of one of Actaeon's hounds,
208195,L8055645,n,9,"son of Hellen, Vitr",
208196,L4836733,n,9,a city of Phrygia,2775
208197,L1520632,n,9,"the Lance-bearer, a statue by Polycletus, famous in ancient times",
208198,L3602770,n,9,a Persian or Bactrian tribe,
208200,L9520263,n,9,"a town on the western coast of Sicily, now Trapani",2775
208201,L3814109,n,9,"a tributary river of the Rhodanus, now Durance",2775
208203,L4290577,n,9,"wood-nymphs, dryads",
208204,L3302975,n,9,the mother of Amphissus by Apollo,
208205,L1453673,n,9,the Druids,
208206,L5981186,n,9,"a Greek author, of Samos",
208207,L5616058,n,9,the father of Hecuba,
208208,L3072660,n,9,"an old sea-coast town in Achaia, west of Olenos, now perhaps Kaminitza",2775
208209,L8463400,n,9,a river in Scythia,2775
208210,L3510892,n,9,"a famous sea-coast town of Grecian Illyria, the landing-place of those coming from Italy, formerly called Epidamnus, now Durazzo",2775
208211,L8395958,n,9,"a city in the province of Gaul, now Bram",2775
208212,L5827202,n,9,a people of Lucania,1696
208213,L3810874,n,9,a town of Lusitania,2775
208214,L4388466,n,9,"an island of the Mediterranean, on the coast of Spain, now Iviza or Yvica",2775
208215,L4881280,n,9,the Preacher,
208216,L6981565,n,9,a city of the Volsci,2775
208217,L6282164,n,9,"a Pythagorean philosopher, a contemporary of Plato",1545
208218,L6862080,n,9,"a city of Phthiotis, in Thessaly",2775
208220,L7103644,n,9,"a people of Thrace, east of the Strymon",1696
208221,L9215027,n,9,"the father of Andromache, and king of Thebe, in Cilicia",
208223,L2487265,n,9,a quaestor who deserted with the legio Martia from Antony to Octavius,2798
208224,L8003553,n,9,a city on the Hellespont in the Thracian Chersonesus,2775
208225,L6174263,n,9,a city of Phocis,2775
208226,L8228728,a,9,"of or belonging to Elatus, a prince of the Lapithae",
208227,L4032571,n,9,"a city of Lucania, the birth-place of Parmenides and Zeno, the founders of the Eleatic philosophy, in Lat",2775
208228,L2732220,n,9,"daughter of Atlas and Pleione, one of the seven Pleiades, and mother of Dardanus by Jupiter",
208229,L9429774,n,9,son of Perseus and father of Alcmena,
208230,L4505317,n,9,"a small but very fertile island of the Nile, in the Thebaid, with a city of the same name, now Jezyret-Assuan",2775
208231,L5713345,n,9,an island of the Nile,2775
208232,L6046780,n,9,"a very ancient city of Attica, famous for its mysteries of Ceres, now Lepsina",2775
208233,L7626720,n,9,the epithet of a god,1666
208234,L6261150,n,9,a district to the southwest of Macedonia,2775
208235,L8951113,n,9,"the most westerly district of the Peloponnesus, with a capital of the same name, in the vicinity of which Olympia was situated",2775
208236,L3507020,n,9,"one of the companions of Ulysses, whom Circe changed into swine",
208237,L5578860,n,9,"a city in Gallia Aquitania, now Eauze",2775
208238,L6426266,n,9,"a district of Persia, in the west of the modern province of Iran",2775
208239,L5868551,n,9,"the abode of the blessed, Elysium",
208240,L8357590,n,9,a district of Macedonia,2775
208241,L5303528,n,9,"a city of Lusitania, now Merida",2775
208242,L9721917,n,9,a famous natural philosopher of Agrigentum,1545
208243,L6831006,n,9,a district on the shore of the Lesser Syrtis,2775
208244,L5799432,n,9,"a city of Hispania Tarraconensis, near the Pyrenees",2775
208245,L8285481,n,9,a rhetorician of Rhodes,
208246,L4123023,n,9,a sect of Gnostics,
208247,L4169617,n,9,a statue by Alcamenes,
208248,L2102441,n,9,"a beautiful youth of Mount Latmos, in Caria, who, on account of his love for Juno, was condemned by Jupiter to perpetual sleep",
208249,L1177590,n,9,"a city in the interior of Sicily, now Gangi Vetere",2775
208250,L9327226,n,9,a river in Thessaly that flows into the Penëus,2775
208251,L6689839,n,9,Ennian,
208252,L7261790,n,9,"the earth-shaker, an epithet of Neptune",
208253,L4536399,n,9,"a city in the interior of Sicily, now Rocca d' Entella",2775
208254,L7860933,n,9,the goddess of war,1666
208255,L2285386,n,9,the dawn,
208256,L3662465,n,9,a freedman of the emperor Nero,2798
208258,L3299742,n,9,"an old and celebrated commercial city of Ionia, with a temple to Diana, now ruins near the village of Ayasaluk",2775
208259,L7543516,n,9,"the son of Aloeus and brother of Otus, one of the stormers of heaven, killed by Apollo",
208260,L8426287,n,9,"a celebrated Greek historian of Cumae, a disciple of Isocrates",2748
208261,L4798277,n,9,Ion,
208263,L5471619,n,9,"An Only daughter and Heiress, title of a comedy of Menander",
208264,L5846521,n,9,"the victorious, supreme",
208265,L3330829,n,9,a famous Stoic philosopher of Hierapolis in Phrygia,1545
208267,L1961248,n,9,an older name of Dyrrachium,
208268,L9903096,n,9,a colonial city of Dalmatia,2775
208269,L6379386,n,9,"a city in Argolis, on the Saronic Gulf, with a famous temple of Aesculapius, now Pidhavro",2775
208270,L2831591,n,9,the After-born,
208271,L4341873,n,9,a famous Greek poet and prophet of Crete,2748
208272,L3674611,n,9,"in the Greek mythology, a son of Iapetus and Clymene, the husband of Pandora",1566
208273,L8378440,n,9,"the province of Epirus, in the north of Greece, now part of Albania",2775
208274,L7620745,n,9,title of a play of Menander,
208275,L7651472,n,9,"a Roman colony in Gallia Cisalpina, in the district of the Salassi, on the Duria, now Ivrea",2775
208276,L4440155,n,9,a town in Samnium,2775
208277,L4134495,n,9,"a Pamphylian, who, according to legend, rose from the dead",
208278,L8443938,n,9,"a town in Cilicia, near Mount Amanus",2775
208279,L8080235,n,9,"a famous physician of Alexandria in the time of Ptolemy Lagus, the founder of a medical school",
