,00229978,a,10,"changed for the worse in health or fitness: ""I feel worse today""; ""her cold is worse""",
185208,00636982,a,10,sewn by hand rather than machine,
185209,00637084,a,10,sewn together with overhand stitches (close vertical stitches that pass over and draw the two edges together),
185210,00637259,a,10,made by machine,
185217,00638073,a,10,produced in quantity at a factory,
185219,00638415,a,10,produced in a large-scale industrial operation,
185220,00638520,a,10,produced in quantity often by assembly-line techniques,
185222,00638748,a,10,recurring in cycles,
185160,00629193,a,10,"currently in progress: ""there is mischief afoot""; ""plans are afoot""; ""preparations for the trial are underway""",1463
185161,00629369,a,10,"passing from one to another: ""circulating bills and coins""",1463
185163,00629617,a,10,"currently holding an office: ""the incumbent governor""",1463
185164,00629726,a,10,"of current relevance: ""a live issue""; ""still a live option""",1463
185166,00630006,a,10,"currently happening: ""an ongoing economic crisis""; ""negotiations are in progress""",1463
185167,00630158,a,10,"being in progress now: ""on-line editorial projects""",1463
185169,00630553,a,10,"of interest at the present time: ""a topical reference""; ""a topical and timely study of civil liberty""",1463
185170,00630708,a,10,"reflecting the latest information or changes: ""an up-to-date issue of the magazine""",1463
185173,00631298,a,10,"of an earlier date: ""back issues of the magazine""",1463
185174,00631401,a,10,"no longer having force or relevance: ""a dead issue""",1463
185175,00631503,a,10,"no longer in use: ""obsolete words""",1463
185181,00632902,a,10,"burdened with: ""stuck with the tab""",
185182,00633014,a,10,"used as expletives: ""oh, damn (or goddamn)!""",
185183,00633119,a,10,"deserving a curse: ""her damnable pride""",
185185,00633440,a,10,"supremely favored or fortunate: ""golden lads and girls all must / like chimney sweepers come to dust""",
185184,00633225,a,10,"highly favored or fortunate (as e.g. by divine grace); ""our blessed land""; ""the blessed assurance of a steady income""",
185186,00633616,a,10,"bringing great happiness and thankfulness: ""glorious freedom""; ""glorious times""",
185191,00634612,a,10,"not equipped or or provided: ""unendowed with genius""-J.L.Lowes",
185218,00638237,a,10,"purchased; not homemade: ""my boughten clothes""; ""store teeth""; ""store bread""; ""a store-bought dress""",
185194,00634996,a,10,"furnished or concealed with curtains or draperies: ""a curtained alcove""",
185156,00628292,a,10,"having no care or interest in knowing: ""she appeared totally uninterested""",
185195,00635141,a,10,"covered in folds of cloth: ""velvet-draped windows""",
185196,00635244,a,10,"not provided with curtains: ""blank, curtainless windows stared back at her""",
185200,00635790,a,10,"bearing the name of a particular designer: ""a designer dress""",
185204,00636353,a,10,"manufactured in standard sizes to be shipped and assembled elsewhere: ""a prefabricated structure""",
185203,00636202,a,10,"(of clothing) ""a ready-made jacket""; ""ready-to-wear clothes""",2875
185205,00636519,a,10,"made by hand or a hand process: ""delicate handmade baby dresses""",
185207,00636870,a,10,"made on a handloom: ""handwoven tablecloth""",
185211,00637333,a,10,"made or produced in the home or by yourself: ""homemade bread""",
185212,00637539,a,10,"done by yourself: ""their house was a do-it-yourself project""",
185213,00637660,a,10,"baked at home: ""home-baked cakes and pies""",
185214,00637759,a,10,"brewed at home: ""home-brewed beer""",
185215,00637851,a,10,"cured at home: ""home-cured hams""",
185159,00629037,a,10,"being or existing at the present moment: ""the ship's actual position is 22 miles due south of Key West""",1463
185223,00638939,a,10,"occurring by turns; first one and then the other: ""alternating feelings of love and hate""",
185190,00634411,a,10,"officially endowed with authority or power: ""by the Constitution...the president is invested with certain...powers""-John Marshall",
185225,00639299,a,10,(biology) exhibiting 24-hour periodicity,2158
185226,00639395,a,10,marked by or moving in a cycle,
185228,00639662,a,10,not cyclic,
185230,00639938,a,10,having molecules consisting of two fused rings,
185231,00640039,a,10,having atoms linked by bonds represented in circular or triangular form,
185232,00640183,a,10,containing a closed ring of atoms of which at least one is not a carbon atom,
185233,00640318,a,10,containing a closed ring of atoms of the same kind especially carbon atoms,
185235,00640599,a,10,having carbon atoms linked in open chains,
185237,00640861,a,10,forming one or more whorls (especially a whorl of leaves around a stem),
185257,00645026,a,10,having the surface damaged or disfigured,
185258,00645129,a,10,used of inanimate objects or their value,
185264,00645996,a,10,having surface damage,
185265,00646083,a,10,damaged by storm,
185272,00647102,a,10,not capable of being given a date,
185275,00647484,a,10,lacking or deprive of the sense of hearing wholly or in part,
185276,00647703,a,10,lacking the sense of hearing and the ability to speak,
185277,00647828,a,10,caused to hear poorly or not at all,
185278,00647918,a,10,having a hearing loss,
185238,00641017,a,10,botany; not cyclic; especially having parts arranged in spirals rather than whorls,
185239,00641153,a,10,"(botany) completing its life cycle within a year; ""a border of annual flowering plants""",2172
185241,00641546,a,10,"(botany) lasting three seasons or more; ""the common buttercup is a popular perennial plant""",2172
185243,00641938,a,10,"(biology) belonging to or active during the night; ""nocturnal animals are active at night""; ""nocturnal plants have flowers that open at night and close by day""",2158
185246,00642547,a,10,"happening every night: ""nightly television now goes on until 3:00 or 4:00 a.m.""",
185247,00642680,a,10,"of or during or relating to the night: ""a nocturnal journey""; ""nocturnal stillness""; ""nocturnal predators""",
185249,00643420,a,10,"damaged by blows or hard usage: ""a battered old car""; ""the beaten-up old Ford""",
185253,00644249,a,10,"out of working order: ""a broken washing machine""; ""the coke machine is broken""; (""busted"" is an informal substitute for ""broken"" as in ""the coke machine is busted"")",
185251,00643827,a,10,"of metal e.g; ""bent nails""; ""a car with a crumpled front end""; ""dented fenders""",
185254,00644475,a,10,"having the spine damaged: ""a broken-backed book""; ""a broken-backed old horse""",
185261,00645478,a,10,"having the paint loose and peeling away: ""a dilapidated house with peeling paint""; ""peeling row houses""",
185256,00644893,a,10,of a ceramic surface; covered with a network of fine cracks,
185259,00645231,a,10,"(informal) ""the gym has some of the most knocked-out equipment since Vic Tanny""",
185260,00645371,a,10,"(of compositions e.g.) ""a mutilated text""",
185266,00646158,a,10,"crushed or broken by being stepped upon heavily: ""her trampled flowers lay crushed and broken""; ""the grass was trodden and muddy""",
185263,00645863,a,10,"damaged or discolored by superficial burning:""the scorched blouse tore easily""",
185284,00648548,a,10,"conforming to conventions of sexual behavior: ""speech in this circle, if not always decent, never became lewd""-George Santayana",
185267,00646352,a,10,not harmed or spoiled; sound,
185271,00647005,a,10,"bearing a date: ""dated and stamped documents""",
185279,00648020,a,10,unwilling to hear,
185273,00647227,a,10,"not bearing a date: ""a dateless letter""",
185288,00649482,a,10,"designed to incite to indecency or lust: ""the dance often becomes flagrantly obscene""-Margaret Mead",
185280,00648137,a,10,totally deaf; unable to hear anything,
185290,00649920,a,10,"final and deciding: ""the conclusive reason""",
185291,00650020,a,10,"having the power or quality of deciding: ""the crucial experiment""; ""cast the deciding vote""; ""the determinative (or determinant) battle""",
185244,00642171,a,10,"happening during or appropriate to the day: ""a daytime job""; ""daytime television""; ""daytime clothes""",
200860,00222466,r,10,"extremely well: ""his performance went over big""",
185268,00646544,a,10,"undamaged in any way; whole: ""the vase remained intact despite rough handling""",
185281,00648278,a,10,unable to appreciate music,
185282,00648360,a,10,able to perceive sound,
185283,00648457,a,10,having keen hearing,
185234,00640461,a,10,chemistry; not cyclic; having an open chain structure,
185301,00651973,a,10,undecided or characterized by indecisiveness,
185302,00652074,a,10,relating to the use of or having the nature of a declaration,
185303,00652239,a,10,relating to the use of or having the nature of an interrogation,
185312,00653721,a,10,not affirmed or mentioned or declared,
185314,00654045,a,10,satisfying generally accepted social or esthetic standards,
185315,00654166,a,10,characterized by dignity and propriety,
185317,00654449,a,10,acceptable as a deduction (especially as a tax deduction),
185318,00654581,a,10,deductible according to the tax laws,
185319,00654673,a,10,not allowable as a deduction,
185328,00656813,a,10,coming only to the ankle or knee,2234
185343,00659470,a,10,used especially of feelings of defeat and discouragement,
185344,00659616,a,10,decisively defeated in combat,
185345,00659770,a,10,defeated in a competition,
185346,00659858,a,10,humiliated in defeat,
185350,00660378,a,10,overcoming the opposition,
185351,00660463,a,10,experiencing triumph,
185352,00660553,a,10,not conquered,
185353,00660650,a,10,not forced to bow down to a conqueror,
185297,00651172,a,10,"characterized by quickness and firmness: ""his reply was unhesitating""",
185298,00651311,a,10,"characterized by lack of decision and firmness: ""an indecisive manager brought the enterprise to a standstill""",
